x-axis,1,2,3
second,Volt,Volt,Volt
-337.25000E-06,+1.10644531250E+00,+132.81250000E-03,+4.97070312500E+00
-337.20000E-06,+1.10156250000E+00,+138.67187500E-03,+4.98437500000E+00
-337.15000E-06,+1.10546875000E+00,+123.04687500E-03,+4.98437500000E+00
-337.10000E-06,+1.10156250000E+00,+134.76562500E-03,+4.98437500000E+00
-337.05000E-06,+1.10156250000E+00,+136.71875000E-03,+4.97460937500E+00
-337.00000E-06,+1.10058593750E+00,+136.71875000E-03,+4.97851562500E+00
-336.95000E-06,+1.10253906250E+00,+146.48437500E-03,+4.98046875000E+00
-336.90000E-06,+1.10351562500E+00,+126.95312500E-03,+4.98046875000E+00
-336.85000E-06,+1.10253906250E+00,+144.53125000E-03,+4.99609375000E+00
-336.80000E-06,+1.09960937500E+00,+140.62500000E-03,+4.97460937500E+00
-336.75000E-06,+1.10253906250E+00,+130.85937500E-03,+4.98046875000E+00
-336.70000E-06,+1.10156250000E+00,+132.81250000E-03,+4.98046875000E+00
-336.65000E-06,+1.10058593750E+00,+119.14062500E-03,+4.97070312500E+00
-336.60000E-06,+1.09863281250E+00,+119.14062500E-03,+4.98046875000E+00
-336.55000E-06,+1.09960937500E+00,+125.00000000E-03,+4.97656250000E+00
-336.50000E-06,+1.10156250000E+00,+113.28125000E-03,+4.97851562500E+00
-336.45000E-06,+1.10449218750E+00,+138.67187500E-03,+4.98437500000E+00
-336.40000E-06,+1.10351562500E+00,+132.81250000E-03,+4.97656250000E+00
-336.35000E-06,+1.09765625000E+00,+128.90625000E-03,+4.97851562500E+00
-336.30000E-06,+1.09472656250E+00,+142.57812500E-03,+4.97851562500E+00
-336.25000E-06,+1.10058593750E+00,+132.81250000E-03,+4.98046875000E+00
-336.20000E-06,+1.09765625000E+00,+130.85937500E-03,+4.98828125000E+00
-336.15000E-06,+1.09863281250E+00,+130.85937500E-03,+4.97851562500E+00
-336.10000E-06,+1.09667968750E+00,+117.18750000E-03,+4.98632812500E+00
-336.05000E-06,+1.09570312500E+00,+111.32812500E-03,+4.98046875000E+00
-336.00000E-06,+1.09472656250E+00,+119.14062500E-03,+4.98828125000E+00
-335.95000E-06,+1.09765625000E+00,+128.90625000E-03,+4.97460937500E+00
-335.90000E-06,+1.09667968750E+00,+121.09375000E-03,+4.97656250000E+00
-335.85000E-06,+1.09472656250E+00,+119.14062500E-03,+4.97265625000E+00
-335.80000E-06,+1.09667968750E+00,+126.95312500E-03,+4.96679687500E+00
-335.75000E-06,+1.09179687500E+00,+130.85937500E-03,+4.97851562500E+00
-335.70000E-06,+1.09179687500E+00,+134.76562500E-03,+4.96679687500E+00
-335.65000E-06,+1.08886718750E+00,+128.90625000E-03,+4.97265625000E+00
-335.60000E-06,+1.09179687500E+00,+148.43750000E-03,+4.97656250000E+00
-335.55000E-06,+1.09179687500E+00,+136.71875000E-03,+4.97265625000E+00
-335.50000E-06,+1.09179687500E+00,+117.18750000E-03,+4.98437500000E+00
-335.45000E-06,+1.09082031250E+00,+130.85937500E-03,+4.96093750000E+00
-335.40000E-06,+1.09375000000E+00,+123.04687500E-03,+4.97460937500E+00
-335.35000E-06,+1.08593750000E+00,+115.23437500E-03,+4.99414062500E+00
-335.30000E-06,+1.09082031250E+00,+126.95312500E-03,+4.98437500000E+00
-335.25000E-06,+1.08886718750E+00,+128.90625000E-03,+4.97656250000E+00
-335.20000E-06,+1.08789062500E+00,+134.76562500E-03,+4.97070312500E+00
-335.15000E-06,+1.08593750000E+00,+136.71875000E-03,+4.98046875000E+00
-335.10000E-06,+1.08593750000E+00,+130.85937500E-03,+4.95898437500E+00
-335.05000E-06,+1.08691406250E+00,+132.81250000E-03,+4.97851562500E+00
-335.00000E-06,+1.08789062500E+00,+136.71875000E-03,+4.99023437500E+00
-334.95000E-06,+1.08300781250E+00,+130.85937500E-03,+4.97460937500E+00
-334.90000E-06,+1.08398437500E+00,+150.39062500E-03,+4.99218750000E+00
-334.85000E-06,+1.08398437500E+00,+138.67187500E-03,+4.98046875000E+00
-334.80000E-06,+1.07910156250E+00,+138.67187500E-03,+4.98046875000E+00
-334.75000E-06,+1.08496093750E+00,+142.57812500E-03,+4.99023437500E+00
-334.70000E-06,+1.08007812500E+00,+132.81250000E-03,+4.97656250000E+00
-334.65000E-06,+1.07812500000E+00,+134.76562500E-03,+4.99023437500E+00
-334.60000E-06,+1.08007812500E+00,+130.85937500E-03,+4.97851562500E+00
-334.55000E-06,+1.08007812500E+00,+132.81250000E-03,+4.98437500000E+00
-334.50000E-06,+1.07714843750E+00,+144.53125000E-03,+4.99023437500E+00
-334.45000E-06,+1.08300781250E+00,+134.76562500E-03,+4.98046875000E+00
-334.40000E-06,+1.08203125000E+00,+148.43750000E-03,+4.99609375000E+00
-334.35000E-06,+1.07910156250E+00,+146.48437500E-03,+4.99023437500E+00
-334.30000E-06,+1.08105468750E+00,+142.57812500E-03,+4.99023437500E+00
-334.25000E-06,+1.08007812500E+00,+144.53125000E-03,+4.98632812500E+00
-334.20000E-06,+1.08398437500E+00,+134.76562500E-03,+4.97265625000E+00
-334.15000E-06,+1.08105468750E+00,+134.76562500E-03,+4.99023437500E+00
-334.10000E-06,+1.08300781250E+00,+134.76562500E-03,+4.96875000000E+00
-334.05000E-06,+1.07714843750E+00,+136.71875000E-03,+4.97460937500E+00
-334.00000E-06,+1.07421875000E+00,+140.62500000E-03,+4.97070312500E+00
-333.95000E-06,+1.07421875000E+00,+142.57812500E-03,+4.96484375000E+00
-333.90000E-06,+1.07226562500E+00,+146.48437500E-03,+4.97656250000E+00
-333.85000E-06,+1.07324218750E+00,+140.62500000E-03,+4.97460937500E+00
-333.80000E-06,+1.06933593750E+00,+142.57812500E-03,+4.97460937500E+00
-333.75000E-06,+1.07324218750E+00,+142.57812500E-03,+4.97851562500E+00
-333.70000E-06,+1.07812500000E+00,+138.67187500E-03,+4.97265625000E+00
-333.65000E-06,+1.07128906250E+00,+158.20312500E-03,+4.98437500000E+00
-333.60000E-06,+1.07031250000E+00,+148.43750000E-03,+4.96875000000E+00
-333.55000E-06,+1.07324218750E+00,+146.48437500E-03,+4.98046875000E+00
-333.50000E-06,+1.07324218750E+00,+146.48437500E-03,+4.97851562500E+00
-333.45000E-06,+1.06933593750E+00,+130.85937500E-03,+4.97070312500E+00
-333.40000E-06,+1.06835937500E+00,+142.57812500E-03,+4.98046875000E+00
-333.35000E-06,+1.06542968750E+00,+134.76562500E-03,+4.97070312500E+00
-333.30000E-06,+1.06738281250E+00,+132.81250000E-03,+4.96875000000E+00
-333.25000E-06,+1.06738281250E+00,+148.43750000E-03,+4.97265625000E+00
-333.20000E-06,+1.06445312500E+00,+136.71875000E-03,+4.96875000000E+00
-333.15000E-06,+1.06445312500E+00,+152.34375000E-03,+4.98242187500E+00
-333.10000E-06,+1.06738281250E+00,+144.53125000E-03,+4.97265625000E+00
-333.05000E-06,+1.06445312500E+00,+152.34375000E-03,+4.98632812500E+00
-333.00000E-06,+1.06445312500E+00,+146.48437500E-03,+4.98046875000E+00
-332.95000E-06,+1.06933593750E+00,+138.67187500E-03,+4.99023437500E+00
-332.90000E-06,+1.06445312500E+00,+146.48437500E-03,+4.98828125000E+00
-332.85000E-06,+1.06445312500E+00,+136.71875000E-03,+4.98437500000E+00
-332.80000E-06,+1.06542968750E+00,+134.76562500E-03,+4.99218750000E+00
-332.75000E-06,+1.06347656250E+00,+138.67187500E-03,+4.99218750000E+00
-332.70000E-06,+1.05957031250E+00,+125.00000000E-03,+4.98046875000E+00
-332.65000E-06,+1.06250000000E+00,+140.62500000E-03,+4.98828125000E+00
-332.60000E-06,+1.06250000000E+00,+123.04687500E-03,+4.98437500000E+00
-332.55000E-06,+1.06640625000E+00,+138.67187500E-03,+4.98437500000E+00
-332.50000E-06,+1.05859375000E+00,+148.43750000E-03,+4.97460937500E+00
-332.45000E-06,+1.06054687500E+00,+142.57812500E-03,+4.97265625000E+00
-332.40000E-06,+1.05761718750E+00,+150.39062500E-03,+4.98046875000E+00
-332.35000E-06,+1.05664062500E+00,+140.62500000E-03,+4.95898437500E+00
-332.30000E-06,+1.05371093750E+00,+142.57812500E-03,+4.96679687500E+00
-332.25000E-06,+1.05566406250E+00,+152.34375000E-03,+4.97851562500E+00
